t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
46.675,90,93.5,-6.650000095367432,1.9,0,0.2
46.695,90,93.5,-6.650000095367432,1.9,0,0.2
46.715,90,93.5,-6.650000095367432,1.9,0,0.2
46.735,90,93.5,-6.650000095367432,1.9,0,0.2
46.755,90,93.5,-6.650000095367432,1.9,0,0.2
46.775,90,93.5,-6.650000095367432,1.9,0,0.2
46.795,90,93.5,-6.650000095367432,1.9,0,0.2
46.815,90,93.5,-6.650000095367432,1.9,0,0.2
46.835,90,93.5,-6.650000095367432,1.9,0,0.2
46.855,90,93.5,-6.650000095367432,1.9,0,0.2
46.875,90,93.5,-6.650000095367432,1.9,0,0.2
46.895,90,93.5,-6.650000095367432,1.9,0,0.2
46.915,90,93.5,-6.650000095367432,1.9,0,0.2
46.935,90,93,-5.699999809265137,1.9,0,0.2
46.955,90,93.5,-6.650000095367432,1.9,0,0.2
46.975,90,93.5,-6.650000095367432,1.9,0,0.2
46.995,90,93,14.300000190734863,1.9,0,0.2
47.015,90,93,-5.699999809265137,1.9,0,0.2
47.035,90,93,-5.699999809265137,1.9,0,0.2
47.055,90,92,16.200000762939453,1.9,0,0.2
47.075,90,92,-3.799999952316284,1.9,0,0.2
47.095,90,92,-3.799999952316284,1.9,0,0.2
47.115,90,91.5,-2.8499999046325684,1.9,0,0.2
47.135,90,91.5,-2.8499999046325684,1.9,0,0.2
47.155,90,91,-1.899999976158142,1.9,0,0.2
47.175,90,91,-1.899999976158142,1.9,0,0.2
47.195,90,91.5,-2.8499999046325684,1.9,0,0.2
47.215,90,91.5,-2.8499999046325684,1.9,0,0.2
47.235,90,91.5,-2.8499999046325684,1.9,0,0.2
47.255,90,91.5,-2.8499999046325684,1.9,0,0.2
47.275,90,91.5,-2.8499999046325684,1.9,0,0.2
47.295,90,91.5,-2.8499999046325684,1.9,0,0.2
47.315,90,92,-3.799999952316284,1.9,0,0.2
47.335,90,92,-3.799999952316284,1.9,0,0.2
47.355,90,93,-25.700000762939453,1.9,0,0.2
47.375,90,93,-5.699999809265137,1.9,0,0.2
47.395,90,93,-5.699999809265137,1.9,0,0.2
47.415,90,93,-5.699999809265137,1.9,0,0.2
47.435,90,93,-5.699999809265137,1.9,0,0.2
47.455,90,93,-5.699999809265137,1.9,0,0.2
47.475,90,93,-5.699999809265137,1.9,0,0.2
47.495,90,92.5,-4.75,1.9,0,0.2
47.515,90,92.5,-4.75,1.9,0,0.2
47.535,90,93,-5.699999809265137,1.9,0,0.2
47.555,90,92.5,-4.75,1.9,0,0.2
47.575,90,92,-3.799999952316284,1.9,0,0.2
47.595,90,92.5,-4.75,1.9,0,0.2
47.615,90,92.5,-4.75,1.9,0,0.2
47.635,90,93,-25.700000762939453,1.9,0,0.2
47.655,90,93,-5.699999809265137,1.9,0,0.2
47.675,90,93,-5.699999809265137,1.9,0,0.2
47.695,90,93,-5.699999809265137,1.9,0,0.2
47.715,90,92.5,-4.75,1.9,0,0.2
47.735,90,92.5,-4.75,1.9,0,0.2
47.755,90,92,-3.799999952316284,1.9,0,0.2
47.775,90,92,-3.799999952316284,1.9,0,0.2
47.795,90,92.5,-4.75,1.9,0,0.2
47.815,90,93,-5.699999809265137,1.9,0,0.2
47.835,90,93,-5.699999809265137,1.9,0,0.2
47.855,90,93,-5.699999809265137,1.9,0,0.2
47.875,90,93,-5.699999809265137,1.9,0,0.2
47.895,90,93,-5.699999809265137,1.9,0,0.2
47.915,90,93,-5.699999809265137,1.9,0,0.2
47.935,90,93,-5.699999809265137,1.9,0,0.2
47.955,90,93,-5.699999809265137,1.9,0,0.2
47.975,90,93,-5.699999809265137,1.9,0,0.2
47.995,90,93,-5.699999809265137,1.9,0,0.2
48.015,90,93,-5.699999809265137,1.9,0,0.2
