t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
176.255,0,-3,-2.703373908996582,1.25,0.4,0.4
176.275,0,-4,44,1.25,0.4,0.4
176.295,0,-4,-1.395373821258545,1.25,0.4,0.4
176.315,0,-4,-1.363372802734375,1.25,0.4,0.4
176.335,0,-4.5,-0.7033724784851074,1.25,0.4,0.4
176.355,0,-4.5,-0.6673727035522461,1.25,0.4,0.4
176.375,0,-4,-1.2593722343444824,1.25,0.4,0.4
176.395,0,-4,-1.2273712158203125,1.25,0.4,0.4
176.415,0,-3,-2.451371192932129,1.25,0.4,0.4
176.435,0,-3,-2.427370548248291,1.25,0.4,0.4
176.455,0,-3.5,-1.7763705253601074,1.25,0.4,0.4
176.475,0,-4,-1.1203699111938477,1.25,0.4,0.4
176.495,0,-4,-1.0883688926696777,1.25,0.4,0.4
176.515,0,-3.5,-1.6833686828613281,1.25,0.4,0.4
176.535,0,-3,-2.2833685874938965,1.25,0.4,0.4
176.555,0,-3,-2.2593679428100586,1.25,0.4,0.4
176.575,0,-3,-2.2353672981262207,1.25,0.4,0.4
176.595,0,-3,-2.211366653442383,1.25,0.4,0.4
176.615,0,-3,-2.187366008758545,1.25,0.4,0.4
176.635,0,-3,-2.1633658409118652,1.25,0.4,0.4
176.655,0,-3,-2.1393651962280273,1.25,0.4,0.4
176.675,0,-3,-2.1153645515441895,1.25,0.4,0.4
176.695,0,-2.5,-2.720365047454834,1.25,0.4,0.4
176.715,0,-2.5,-2.7003650665283203,1.25,0.4,0.4
176.735,0,-3,-2.0513644218444824,1.25,0.4,0.4
176.755,0,-3,-2.0273642539978027,1.25,0.4,0.4
176.775,0,-2.5,-2.632364273071289,1.25,0.4,0.4
176.795,0,-2,-43.238365173339844,1.25,0.4,0.4
176.815,0,-2,-3.2223639488220215,1.25,0.4,0.4
176.835,0,-2,-3.2063636779785156,1.25,0.4,0.4
176.855,0,-2,-3.1903634071350098,1.25,0.4,0.4
176.875,0,-2,-3.174363136291504,1.25,0.4,0.4
176.895,0,-2,-3.158362865447998,1.25,0.4,0.4
176.915,0,-2,-3.142362117767334,1.25,0.4,0.4
176.935,0,-2,-3.126361846923828,1.25,0.4,0.4
176.955,0,-2,-3.1103615760803223,1.25,0.4,0.4
