t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
91.815,0,2.5,15.25,1.9,0,0.2
91.835,0,2,-3.799999952316284,1.9,0,0.2
91.855,0,2,-3.799999952316284,1.9,0,0.2
91.875,0,2,-3.799999952316284,1.9,0,0.2
91.895,0,2.5,-4.75,1.9,0,0.2
91.915,0,2.5,-4.75,1.9,0,0.2
91.935,0,2,-3.799999952316284,1.9,0,0.2
91.955,0,2,-3.799999952316284,1.9,0,0.2
91.975,0,2,-3.799999952316284,1.9,0,0.2
91.995,0,2,-3.799999952316284,1.9,0,0.2
92.015,0,2.5,-24.75,1.9,0,0.2
92.035,0,3,-5.699999809265137,1.9,0,0.2
92.055,0,3,-5.699999809265137,1.9,0,0.2
92.075,0,3,-5.699999809265137,1.9,0,0.2
92.095,0,3,-5.699999809265137,1.9,0,0.2
92.115,0,3,-5.699999809265137,1.9,0,0.2
92.135,0,3,-5.699999809265137,1.9,0,0.2
92.155,0,3,-5.699999809265137,1.9,0,0.2
92.175,0,3,-5.699999809265137,1.9,0,0.2
92.195,0,3,-5.699999809265137,1.9,0,0.2
92.215,0,3,-5.699999809265137,1.9,0,0.2
92.235,0,3.5,-6.650000095367432,1.9,0,0.2
92.255,0,3.5,-6.650000095367432,1.9,0,0.2
92.275,0,3.5,-6.650000095367432,1.9,0,0.2
92.295,0,3,14.300000190734863,1.9,0,0.2
92.315,0,3,-5.699999809265137,1.9,0,0.2
92.335,0,2.5,-4.75,1.9,0,0.2
92.355,0,2,-3.799999952316284,1.9,0,0.2
92.375,0,2.5,-24.75,1.9,0,0.2
92.395,0,3,-5.699999809265137,1.9,0,0.2
92.415,0,3,-5.699999809265137,1.9,0,0.2
92.435,0,3,-5.699999809265137,1.9,0,0.2
92.455,0,3.5,-26.649999618530273,1.9,0,0.2
92.475,0,3.5,-6.650000095367432,1.9,0,0.2
92.495,0,3.5,-6.650000095367432,1.9,0,0.2
92.515,0,3,-5.699999809265137,1.9,0,0.2
92.535,0,3,-5.699999809265137,1.9,0,0.2
92.555,0,2,-4.75,1.9,0,0.2
92.575,0,2,-3.799999952316284,1.9,0,0.2
92.595,0,2,-3.799999952316284,1.9,0,0.2
92.615,0,1.5,-2.8499999046325684,1.9,0,0.2
92.635,0,1.5,-2.8499999046325684,1.9,0,0.2
92.655,0,1.5,-2.8499999046325684,1.9,0,0.2
92.675,0,1.5,-2.8499999046325684,1.9,0,0.2
92.695,0,2,-3.799999952316284,1.9,0,0.2
92.715,0,2,-3.799999952316284,1.9,0,0.2
92.735,0,3,-25.700000762939453,1.9,0,0.2
92.755,0,3,-5.699999809265137,1.9,0,0.2
92.775,0,3.5,-26.649999618530273,1.9,0,0.2
92.795,0,3.5,-6.650000095367432,1.9,0,0.2
92.815,0,3.5,-6.650000095367432,1.9,0,0.2
92.835,0,3.5,-6.650000095367432,1.9,0,0.2
92.855,0,4,-7.599999904632568,1.9,0,0.2
92.875,0,4,-7.599999904632568,1.9,0,0.2
92.895,0,4.5,-8.550000190734863,1.9,0,0.2
92.915,0,4,-7.599999904632568,1.9,0,0.2
92.935,0,4,-7.599999904632568,1.9,0,0.2
92.955,0,4,-7.599999904632568,1.9,0,0.2
92.975,0,4,-27.600000381469727,1.9,0,0.2
92.995,0,3.5,-6.650000095367432,1.9,0,0.2
93.015,0,3.5,-6.650000095367432,1.9,0,0.2
93.035,0,3,-5.699999809265137,1.9,0,0.2
93.055,0,2,-3.799999952316284,1.9,0,0.2
93.075,0,2,-3.799999952316284,1.9,0,0.2
93.095,0,2,-3.799999952316284,1.9,0,0.2
93.115,0,1.5,-2.8499999046325684,1.9,0,0.2
93.135,0,1.5,-2.8499999046325684,1.9,0,0.2
